date,time,competition,round,day,venue,result,goal_scored,goal_conceded,opponent,possession,opponent_possession,attendance,captain,referee,formation,opponent_formation,passing_accuracy_percentage,opponent_passing_accuracy_percentage,total_pass_attempt,opponent_total_pass_attempt,successful_pass,opponent_successful_pass,shots_on_target_percentage,opponent_shots_on_target_percentage,shots_on_target_attempt,opponent_shots_on_target_attempt,successful_shots_on_target,opponent_successful_shots_on_target,saves_percentage,opponent_saves_percentage,saves_attempt,opponent_saves_attempt,successful_saves,opponent_successful_saves,yellow_card,opponent_yellow_card,yellow_red_card,opponent_yellow_red_card,red_card,opponent_red_card,fouls,opponent_fouls,crosses,opponent_crosses,touches,opponent_touches,tackles,opponent_tackles,interceptions,opponent_interceptions,aerials_won,opponent_aerials_won,clearances,opponent_clearances,offsides,opponent_offsides,goal_kicks,opponent_goal_kicks,throw_ins,opponent_throw_ins,notes
2021-11-06,16:15,La Liga,Matchweek 13,Sat,Away,D,3,3,Celta Vigo,48,52,13146,Sergio Busquets,Alejandro Hernández,4-3-3,4-4-2,85.09,82.94,523,557,445,462,50.0,22.22,10,18,5,4,0.0,0.0,4,5,0,0,6,3,0,0,0,0,19,21,7,19,646,661,12,23,23,19,8,12,22,9,2,2,13,7,18,19,
2021-11-20,21:00,La Liga,Matchweek 14,Sat,Home,W,1,0,Espanyol,65,35,74418,Sergio Busquets,Carlos del Cerro,4-3-3,4-1-4-1,87.83,80.68,715,383,628,309,33.33,16.67,15,12,5,2,0.0,0.0,2,5,0,0,4,2,0,0,0,0,18,13,21,9,810,505,19,16,9,18,13,11,11,18,7,1,8,7,16,13,
2021-11-23,21:00,Champions Lg,Group stage,Tue,Home,D,0,0,Benfica,65,35,49572,Sergio Busquets,Sergey Karasev,3-4-3,3-4-3,83.64,72.92,703,384,588,280,21.43,42.86,14,7,3,3,0.0,0.0,3,3,0,0,1,4,0,0,0,0,14,19,12,4,812,512,25,25,12,20,29,13,9,16,8,3,5,9,26,17,
2021-11-27,21:00,La Liga,Matchweek 15,Sat,Away,W,3,1,Villarreal,49,51,19050,Sergio Busquets,César Soto,4-3-3,4-4-2,78.79,80.83,448,459,353,371,45.45,14.29,11,14,5,2,0.0,0.0,2,5,0,0,2,2,0,0,0,0,15,22,8,12,553,554,18,10,19,21,9,6,11,10,4,3,12,7,15,17,
2021-12-04,16:15,La Liga,Matchweek 16,Sat,Home,L,0,1,Betis,62,38,66529,Sergio Busquets,Pablo González,4-3-3,4-2-3-1,86.71,75.75,662,400,574,303,25.0,25.0,12,8,3,2,0.0,0.0,2,3,0,0,1,2,0,0,0,0,19,13,13,9,760,501,12,26,9,14,14,8,6,16,3,3,7,14,15,12,
2021-12-08,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,Bayern Munich,48,52,,Sergio Busquets,Ovidiu Hațegan,4-3-3,4-2-3-1,79.81,85.77,515,555,411,476,28.57,60.0,7,10,2,6,0.0,0.0,6,2,0,0,2,1,0,0,0,0,17,16,11,11,605,672,17,19,10,20,9,11,8,15,2,4,5,3,18,11,
2021-12-12,16:15,La Liga,Matchweek 17,Sun,Away,D,2,2,Osasuna,61,39,21427,Sergio Busquets,Juan Martínez,3-5-1-1,4-1-4-1,80.61,66.06,521,330,420,218,20.0,37.5,10,8,2,3,0.0,0.0,3,2,0,0,4,5,0,0,0,0,16,21,13,16,650,436,18,21,6,11,21,24,16,15,2,4,4,14,17,20,
2021-12-18,18:30,La Liga,Matchweek 18,Sat,Home,W,3,2,Elche,71,29,41664,Sergio Busquets,Alberola Rojas,3-4-3◆,4-4-2,88.75,68.77,738,301,655,207,36.84,60.0,19,5,7,3,0.0,0.0,3,7,0,0,1,3,0,0,0,0,15,21,11,7,847,409,14,19,14,14,10,7,7,15,3,4,4,9,10,22,
2021-12-21,21:30,La Liga,Matchweek 4,Tue,Away,D,1,1,Sevilla,59,41,31358,Sergio Busquets,Carlos del Cerro,4-3-3,4-3-3,83.09,77.86,550,384,457,299,30.43,20.0,23,5,7,1,0.0,0.0,1,7,0,0,3,2,0,0,0,1,14,18,15,5,652,498,17,15,12,7,16,9,3,21,1,2,7,9,18,22,
2022-01-02,21:00,La Liga,Matchweek 19,Sun,Away,W,1,0,Mallorca,63,37,14654,Gerard Piqué,Antonio Matéu Lahoz,4-3-3,4-2-3-1,87.25,74.24,604,361,527,268,23.08,23.08,13,13,3,3,0.0,0.0,3,3,0,0,2,5,0,0,0,0,26,26,11,7,709,465,17,18,11,13,23,19,13,8,1,2,3,6,17,19,
2022-01-05,19:30,Copa del Rey,Round of 32,Wed,Away,W,2,1,Linares,81,19,10000,Sergio Busquets,Guillermo Cuadra,3-1-4-2,4-4-2,,,,,,,29.17,25.0,24,8,7,2,0.0,0.0,2,7,0,0,1,1,0,0,0,0,10,17,24,14,,,,,5,16,,,,,2,6,,,,,
2022-01-08,18:30,La Liga,Matchweek 20,Sat,Away,D,1,1,Granada,65,35,14442,Sergio Busquets,Pablo González,4-3-3,4-4-2,85.28,71.6,625,331,533,237,7.69,28.57,13,14,1,4,0.0,0.0,4,1,0,0,5,2,1,0,0,0,24,15,6,13,738,449,18,20,13,18,16,10,16,13,3,2,7,13,20,17,
2022-01-12,22:00,Supercopa de España,Semi-finals,Wed,Home,L,2,3,Real Madrid,53,47,,Sergio Busquets,José Luis Munuera,4-3-3,4-3-3,,,,,,,30.0,57.14,20,14,6,8,0.0,0.0,8,6,0,0,2,2,0,0,0,0,18,11,26,4,,,,,15,8,,,,,2,2,,,,,Required Extra Time
2022-01-20,21:30,Copa del Rey,Round of 16,Thu,Away,L,2,3,Athletic Club,67,33,37287,Sergio Busquets,José Luis Munuera,4-3-3,4-4-2,,,,,,,42.86,36.84,7,19,3,7,0.0,0.0,7,3,0,0,4,4,0,0,0,0,22,24,18,20,,,,,9,11,,,,,6,7,,,,,Required Extra Time
2022-01-23,21:00,La Liga,Matchweek 22,Sun,Away,W,1,0,Alavés,75,25,14056,Sergio Busquets,Jorge Figueroa,4-3-3,4-2-3-1,85.33,61.69,750,248,640,153,40.0,33.33,10,6,4,2,0.0,0.0,2,4,0,0,0,0,0,0,0,0,9,21,11,9,853,368,18,20,7,20,14,28,15,23,3,3,5,8,28,16,
2022-02-06,16:15,La Liga,Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,56,44,74221,Sergio Busquets,Jesús Gil,4-3-3,4-3-3,85.79,79.3,570,454,489,360,40.0,45.45,10,11,4,5,0.0,0.0,5,4,0,0,2,2,0,0,1,0,15,14,11,7,690,557,13,16,15,15,15,14,14,17,1,3,9,5,14,20,
2022-02-13,21:00,La Liga,Matchweek 24,Sun,Away,D,2,2,Espanyol,64,36,25049,Sergio Busquets,Alejandro Hernández,4-3-3,4-1-4-1,85.27,75.15,584,330,498,248,33.33,40.0,12,10,4,4,0.0,0.0,4,4,0,0,4,5,1,1,0,1,15,19,25,2,687,442,15,19,12,13,18,6,8,20,3,2,6,9,22,20,
